ID,UN ID,User Need,NeedConformance,NeedSupport,Requirement ID,Requirement,Conformance,Support,Other Requirements,ReqFlag,ReqFlagValue,OtherReqParameter,OtherRequirementValues,NeedFlag,NeedFlagValue
1,RINEED10,The RI needs to support the use of predefined tests (scripted tests included with the RI) to include: Provide predefined tests to demonstrate conformance with the approved C2C ITS standards identified for RI applications. Maintain the RI configuration to ensure the ability to perform conformance testing.,Mandatory,Yes,SRS38.6,Validate - validate the format and content of the message received from the SUT acting as an External Center and store the results in the Test Log,M,Yes,,C2CRI_RINEED10_SRS38_6_Flag,TRUE,C2CRI_RINEED10_SRS38_6_Parameter,,C2CRI_RINEED10_Flag,TRUE
2,RINEED11,The RI needs to provide a facility to enable users to define tests to be conducted during their development and integration testing.  Defining tests is the ability for users to setup tests that are specific to their SUT.,Mandatory,Yes,SRS38.6,Validate - validate the format and content of the message received from the SUT acting as an External Center and store the results in the Test Log,M,Yes,,C2CRI_RINEED11_SRS38_6_Flag,TRUE,C2CRI_RINEED11_SRS38_6_Parameter,,C2CRI_RINEED11_Flag,TRUE
3,RINEED31,"To mitigate any potential security concerns, the RI needs to be designed so that it does not compromise the security or integrity of the systems being tested.",Mandatory,Yes,SRS38.6,Validate - validate the format and content of the message received from the SUT acting as an External Center and store the results in the Test Log,M,Yes,,C2CRI_RINEED31_SRS38_6_Flag,TRUE,C2CRI_RINEED31_SRS38_6_Parameter,,C2CRI_RINEED31_Flag,TRUE
4,RINEED31.1,"That is, the RI should be passive to the extent that it can be.  Messages sent to the system under test (SUT) will be accepted or rejected by the SUT and any changes to the system due to the messages will be determined by the systems under test.",Mandatory,Yes,SRS38.6,Validate - validate the format and content of the message received from the SUT acting as an External Center and store the results in the Test Log,M,Yes,,C2CRI_RINEED31.1_SRS38_6_Flag,TRUE,C2CRI_RINEED31_1_SRS38_6_Parameter,,C2CRI_RINEED31_1_Flag,TRUE
5,RINEED10,The RI needs to support the use of predefined tests (scripted tests included with the RI) to include: Provide predefined tests to demonstrate conformance with the approved C2C ITS standards identified for RI applications. Maintain the RI configuration to ensure the ability to perform conformance testing.,Mandatory,Yes,SRS38.7,Pause – pause the execution of the script until and await a user action takes place,M,Yes,,C2CRI_RINEED10_SRS38_7_Flag,TRUE,C2CRI_RINEED10_SRS38_7_Parameter,,C2CRI_RINEED10_Flag,TRUE
6,RINEED11,The RI needs to provide a facility to enable users to define tests to be conducted during their development and integration testing.  Defining tests is the ability for users to setup tests that are specific to their SUT.,Mandatory,Yes,SRS38.7,Pause – pause the execution of the script until and await a user action takes place,M,Yes,,C2CRI_RINEED11_SRS38_7_Flag,TRUE,C2CRI_RINEED11_SRS38_7_Parameter,,C2CRI_RINEED11_Flag,TRUE
7,RINEED16,The interrupted operation should be configurable to allow planned stops in the testing.,Mandatory,Yes,SRS38.7,Pause – pause the execution of the script until and await a user action takes place,M,Yes,,C2CRI_RINEED16_SRS38_7_Flag,TRUE,C2CRI_RINEED16_SRS38_7_Parameter,,C2CRI_RINEED16_Flag,TRUE
8,RINEED31,"To mitigate any potential security concerns, the RI needs to be designed so that it does not compromise the security or integrity of the systems being tested.",Mandatory,Yes,SRS38.7,Pause – pause the execution of the script until and await a user action takes place,M,Yes,,C2CRI_RINEED31_SRS38_7_Flag,TRUE,C2CRI_RINEED31_SRS38_7_Parameter,,C2CRI_RINEED31_Flag,TRUE
9,RINEED31.1,"That is, the RI should be passive to the extent that it can be.  Messages sent to the system under test (SUT) will be accepted or rejected by the SUT and any changes to the system due to the messages will be determined by the systems under test.",Mandatory,Yes,SRS38.7,Pause – pause the execution of the script until and await a user action takes place,M,Yes,,C2CRI_RINEED31.1_SRS38_7_Flag,TRUE,C2CRI_RINEED31_1_SRS38_7_Parameter,,C2CRI_RINEED31_1_Flag,TRUE
10,RINEED10,The RI needs to support the use of predefined tests (scripted tests included with the RI) to include: Provide predefined tests to demonstrate conformance with the approved C2C ITS standards identified for RI applications. Maintain the RI configuration to ensure the ability to perform conformance testing.,Mandatory,Yes,SRS38.8,Terminate – end the execution of the script,M,Yes,,C2CRI_RINEED10_SRS38_8_Flag,TRUE,C2CRI_RINEED10_SRS38_8_Parameter,,C2CRI_RINEED10_Flag,TRUE
