ID,NeedID,RequirementID,TCID,ItemType,Precondition
157,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a1-GeneralValid,RI,
158,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a2-DefinitionsValid,RI,
159,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a3-TypesValid,RI,
160,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a4-MessagesValid,RI,
161,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a5-SHRR-PortTypeValid,RI,
162,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a6-SHRR-BindingValid,RI,
163,1,1.a,TCS-C2CRI-NTCIP2306-WSDL-1a7-SHRR-ServiceValid,RI,
164,1,1.a,TCS-C2CRI-NTCIP2306-WSME-1Sa-SHRR-RHConnect-EC,RI,
166,1,1.a,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-EC,RI,
167,1,1.a,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-OC,RI,
168,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b1-GeneralValid,RI,
169,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b2-DefinitionsValid,RI,
170,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b3-TypesValid,RI,
171,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b4-MessagesValid,RI,
172,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b5-SHSP-PortTypeValid,RI,
173,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b6-SHSP-BindingValid,RI,
174,1,1.b,TCS-C2CRI-NTCIP2306-WSDL-1b7-SHSP-ServiceValid,RI,
175,1,1.b,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-EC,RI,
176,1,1.b,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-OC,RI,
177,1,1.b,TCS-C2CRI-NTCIP2306-WSME-1Sd-SHSP-SSConnect-EC,RI,
178,1,1.b,TCS-C2CRI-NTCIP2306-WSME-1Sd-SHSP-SSConnect-OC,RI,
183,1,1.c,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-EC,RI,SOAPWSDLSP
184,1,1.c,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-OC,RI,SOAPWSDLSP
185,1,1.c,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-EC,RI,SOAPWSDLRR
186,1,1.c,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-OC,RI,SOAPWSDLRR
189,1,1.d,TCS-C2CRI-NTCIP2306-WSDL-1d1-SHTr-HttpValid,RI,
190,1,1.d,TCS-C2CRI-NTCIP2306-WSDL-1d2-SHTr-HttpsValid,RI,
191,1,1.d,TCS-C2CRI-NTCIP2306-WSME-1Sa-SHRR-RHConnect-EC,RI,SOAPWSDLRR
192,1,1.d,TCS-C2CRI-NTCIP2306-WSME-1Sa-SHRR-RHConnect-OC,RI,SOAPWSDLRR
193,1,1.d,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-EC,RI,SOAPWSDLSP
194,1,1.d,TCS-C2CRI-NTCIP2306-WSME-1Sb-SHSP-SHConnect-OC,RI,SOAPWSDLSP
199,1,1.d.2,TCS-C2CRI-NTCIP2306-WSDL-1d2-SHTr-HttpsValid,RI,
200,1,1.d.2,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-EC,RI,SOAPWSDLRR
201,1,1.d.2,TCS-C2CRI-NTCIP2306-WSME-1Sc-SHRR-RSConnect-OC,RI,SOAPWSDLRR
202,1,1.d.2,TCS-C2CRI-NTCIP2306-WSME-1Sd-SHSP-SSConnect-EC,RI,SOAPWSDLSP
203,1,1.d.2,TCS-C2CRI-NTCIP2306-WSME-1Sd-SHSP-SSConnect-OC,RI,SOAPWSDLSP
204,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a1-GeneralValid,RI,
205,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a2-DefinitionsValid,RI,
206,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a3-TypesValid,RI,
207,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a4-MessagesValid,RI,
208,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a5-XHRO-PortTypeValid,RI,
209,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a6-XHRO-BindingValid,RI,
210,2,2.a,TCS-C2CRI-NTCIP2306-WSDL-2a7-XHRO-ServiceValid,RI,
211,2,2.a,TCS-C2CRI-NTCIP2306-WSME-2Sa-XHRO-THConnect-EC,RI,
212,2,2.a,TCS-C2CRI-NTCIP2306-WSME-2Sa-XHRO-THConnect-OC,RI,
213,2,2.a,TCS-C2CRI-NTCIP2306-WSME-2Sb-XHRO-GHConnect-EC,RI,
214,2,2.a,TCS-C2CRI-NTCIP2306-WSME-2Sb-XHRO-GHConnect-OC,RI,
218,2,2.a,TCS-C2CRI-NTCIP2306-WSME-2Sf-XHRO-GSConnect-OC,RI,
218,2,2.a,TCS-C2CRI-NTCIP2306-WSME-2Sf-XHRO-GSConnect-EC,RI,
219,2,2.b,TCS-C2CRI-NTCIP2306-WSDL-2b1-GeneralValid,RI,
220,2,2.b,TCS-C2CRI-NTCIP2306-WSDL-2b2-DefinitionsValid,RI,
221,2,2.b,TCS-C2CRI-NTCIP2306-WSDL-2b3-TypesValid,RI,
222,2,2.b,TCS-C2CRI-NTCIP2306-WSDL-2b4-MessagesValid,RI,
223,2,2.b,TCS-C2CRI-NTCIP2306-WSDL-2b5-XHRR-PortTypeValid,RI,
224,2,2.b,TCS-C2CRI-NTCIP2306-WSDL-2b6-XHRR-BindingValid,RI,
225,2,2.b,TCS-C2CRI-NTCIP2306-WSDL-2b7-XHRR-ServiceValid,RI,
226,2,2.b,TCS-C2CRI-NTCIP2306-WSME-2Sc-XHRR-THConnect-OC,RI,
227,2,2.b,TCS-C2CRI-NTCIP2306-WSME-2Sc-XHRR-THConnect-EC,RI,
229,2,2.b,TCS-C2CRI-NTCIP2306-WSME-2Sd-XHRR-GHConnect-EC,RI,
229,2,2.b,TCS-C2CRI-NTCIP2306-WSME-2Sd-XHRR-GHConnect-OC,RI,
230,2,2.b,TCS-C2CRI-NTCIP2306-WSME-2Sg-XHRR-TSConnect-EC,RI,
231,2,2.b,TCS-C2CRI-NTCIP2306-WSME-2Sg-XHRR-TSConnect-OC,RI,
232,2,2.b,TCS-C2CRI-NTCIP2306-WSME-2Sh-XHRR-GSConnect-EC,RI,
236,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sa-XHRO-THConnect-EC,RI,
237,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sa-XHRO-THConnect-OC,RI,
238,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sb-XHRO-GHConnect-EC,RI,
239,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sb-XHRO-GHConnect-OC,RI,
241,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sc-XHRR-THConnect-OC,RI,
242,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sd-XHRR-GHConnect-EC,RI,
243,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sd-XHRR-GHConnect-OC,RI,
249,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sg-XHRR-TSConnect-OC,RI,
250,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sh-XHRR-GSConnect-EC,RI,
251,2,2.d,TCS-C2CRI-NTCIP2306-WSME-2Sh-XHRR-GSConnect-OC,RI,
252,2,2.e,TCS-C2CRI-NTCIP2306-WSDL-2e1-XHTr-HttpValid,RI,
254,2,2.e,TCS-C2CRI-NTCIP2306-WSME-2Sa-XHRO-THConnect-EC,RI,
257,2,2.e,TCS-C2CRI-NTCIP2306-WSME-2Sb-XHRO-GHConnect-OC,RI,
259,2,2.e,TCS-C2CRI-NTCIP2306-WSME-2Sc-XHRR-THConnect-OC,RI,
266,2,2.e,TCS-C2CRI-NTCIP2306-WSME-2Sg-XHRR-TSConnect-EC,RI,
268,2,2.e,TCS-C2CRI-NTCIP2306-WSME-2Sh-XHRR-GSConnect-EC,RI,
269,2,2.e,TCS-C2CRI-NTCIP2306-WSME-2Sh-XHRR-GSConnect-OC,RI,
271,2,2.e.2,TCS-C2CRI-NTCIP2306-WSME-2Se-XHRO-TSConnect-EC,RI,
272,2,2.e.2,TCS-C2CRI-NTCIP2306-WSME-2Se-XHRO-TSConnect-OC,RI,
274,2,2.e.2,TCS-C2CRI-NTCIP2306-WSME-2Sf-XHRO-GSConnect-OC,RI,
276,2,2.e.2,TCS-C2CRI-NTCIP2306-WSME-2Sg-XHRR-TSConnect-OC,RI,
277,2,2.e.2,TCS-C2CRI-NTCIP2306-WSME-2Sh-XHRR-GSConnect-EC,RI,
278,2,2.e.2,TCS-C2CRI-NTCIP2306-WSME-2Sh-XHRR-GSConnect-OC,RI,
279,3,3.a,TCS-C2CRI-NTCIP2306-WSDL-3a1-GeneralValid,RI,
280,3,3.a,TCS-C2CRI-NTCIP2306-WSDL-3a2-DefinitionsValid,RI,
